neurons,trained_patterns,test_patterns,test_pattern_hamming,simulations_per_step,min_proportion,mean_proportion,max_proportion,std_proportion,25_perc,mode,75_perc
50,0,100,0,200,100,100,100,0,100,100,100
50,0,100,6,200,100,100,100,0,100,100,100
50,0,100,13,200,100,100,100,0,100,100,100
50,0,100,5,200,100,100,100,0,100,100,100
50,0,100,22,200,100,100,100,0,100,100,100
50,0,100,4,200,100,100,100,0,100,100,100
50,0,100,8,200,100,100,100,0,100,100,100
50,0,100,10,200,100,100,100,0,100,100,100
50,0,100,9,200,100,100,100,0,100,100,100
50,0,100,19,200,100,100,100,0,100,100,100
50,0,100,18,200,100,100,100,0,100,100,100
50,0,100,12,200,100,100,100,0,100,100,100
50,0,100,15,200,100,100,100,0,100,100,100
50,0,100,2,200,100,100,100,0,100,100,100
50,0,100,20,200,100,100,100,0,100,100,100
50,0,100,11,200,100,100,100,0,100,100,100
50,0,100,17,200,100,100,100,0,100,100,100
50,0,100,16,200,100,100,100,0,100,100,100
50,0,100,23,200,100,100,100,0,100,100,100
50,0,100,21,200,100,100,100,0,100,100,100
50,0,100,25,200,36,50.035,64,5.44629,46,50,54
50,0,100,24,200,100,100,100,0,100,100,100
50,0,100,14,200,100,100,100,0,100,100,100
50,0,100,7,200,100,100,100,0,100,100,100
50,0,100,1,200,100,100,100,0,100,100,100
50,0,100,3,200,100,100,100,0,100,100,100
50,1,100,0,200,100,100,100,0,100,100,100
50,1,100,2,200,100,100,100,0,100,100,100
50,1,100,6,200,100,100,100,0,100,100,100
50,1,100,13,200,89,99.85,100,0.980975,100,100,100
50,1,100,11,200,99,99.995,100,0.0707107,100,100,100
50,1,100,5,200,100,100,100,0,100,100,100
50,1,100,4,200,100,100,100,0,100,100,100
50,1,100,14,200,93,99.74,100,1.01368,100,100,100
50,1,100,16,200,75,98.83,100,3.10148,100,100,100
50,1,100,9,200,100,100,100,0,100,100,100
50,1,100,8,200,100,100,100,0,100,100,100
50,1,100,15,200,84,98.975,100,2.69083,100,100,100
50,1,100,19,200,50,89.98,100,11.4843,85,95,98
50,1,100,12,200,100,100,100,0,100,100,100
50,1,100,18,200,65,93.825,100,7.91312,91,97,100
50,1,100,22,200,14,56.35,94,19.0698,43,59,71
50,1,100,23,200,9,41.01,80,16.3523,29,42,52
50,1,100,17,200,47,96.47,100,6.71749,96,99,100
50,1,100,20,200,27,81.885,100,17.7292,70,88,97
50,1,100,10,200,100,100,100,0,100,100,100
50,1,100,25,200,0,7.245,34,10.4605,0,0,18
50,1,100,21,200,29,70.33,97,18.3196,58,75,86
50,1,100,24,200,2,22.275,55,10.8396,14,22,30
50,1,100,7,200,100,100,100,0,100,100,100
50,1,100,1,200,100,100,100,0,100,100,100
50,1,100,3,200,100,100,100,0,100,100,100
50,2,100,0,200,100,100,100,0,100,100,100
50,2,100,2,200,100,100,100,0,100,100,100
50,2,100,5,200,99,99.995,100,0.0707107,100,100,100
50,2,100,4,200,100,100,100,0,100,100,100
50,2,100,6,200,94,99.955,100,0.451658,100,100,100
50,2,100,7,200,96,99.935,100,0.414286,100,100,100
